"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/68878-la-doa","La Doña","2","121","7.2","https://image.tmdb.org/t/p/w400/xPe11sREBZIPUB1SnwckuElru1h.jpg"
"https://seriesgraph.com/show/11721-la-fea-ms-bella","La fea más bella","","300","5.8","https://image.tmdb.org/t/p/w400/iLjqdtSIMiodUlcSqRJ4JEW5gG1.jpg"
"https://seriesgraph.com/show/31586-la-reina-del-sur","La Reina del Sur","3","63","7.8","https://image.tmdb.org/t/p/w400/1qCGOuNVOlaBb7MMDen6CLzp0UE.jpg"
"https://seriesgraph.com/show/35527-la-tormenta","La tormenta","","216","6.9","https://image.tmdb.org/t/p/w400/9qyd6CVZPrb0OzFtsRo6RBZauZz.jpg"
"https://seriesgraph.com/show/67195-legion","Legion","3","11","8.1","https://image.tmdb.org/t/p/w400/xhJtYVTsdXQCIlB5hAXkMCPUG9y.jpg"
"https://seriesgraph.com/show/117303-lessons-in-chemistry","Lessons in Chemistry","1","8","8.2","https://image.tmdb.org/t/p/w400/tCPIf5f6jUIr8KDMWsfaXwXW0kl.jpg"
"https://seriesgraph.com/show/4575-lizzie-mcguire","Lizzie McGuire","2","34","6.6","https://image.tmdb.org/t/p/w400/1ZOelP1XNP8eCwkhJvwRyVU9Ymd.jpg"
"https://seriesgraph.com/show/86423-locke-key","Locke & Key","3","10","7.3","https://image.tmdb.org/t/p/w400/zuxGfRKziGHPogipnEXXykdDmyT.jpg"
"https://seriesgraph.com/show/45501-love-chunibyo-other-delusions","Love, Chunibyo & Other Delusions!","2","13","7.4","https://image.tmdb.org/t/p/w400/1IapEqydEiGO0gCgBPVexTFbUCS.jpg"
"https://seriesgraph.com/show/97186-love-victor","Love, Victor","3","10","7.9","https://image.tmdb.org/t/p/w400/pcT1vivabBnBk0tZgVBO1I8aK75.jpg"
"https://seriesgraph.com/show/1426-luther","Luther","5","6","8.4","https://image.tmdb.org/t/p/w400/hDxOMX8zzH1FiqKWVBzNaYGBkle.jpg"
"https://seriesgraph.com/show/60930-magnificent-century-ksem","Magnificent Century: Kösem","2","30","6.7","https://image.tmdb.org/t/p/w400/4cSbpfXX9YPMPi1Ggauh7Xm7qmW.jpg"
"https://seriesgraph.com/show/72597-manhunt","Manhunt","2","10","8.1","https://image.tmdb.org/t/p/w400/9ukZcwaqcObmmxxfcIXTgVMvalJ.jpg"
"https://seriesgraph.com/show/60699-marco-polo","Marco Polo","2","10","7.9","https://image.tmdb.org/t/p/w400/syYTHCBvFlobr8eJjQMKAjrn9yV.jpg"
"https://seriesgraph.com/show/115004-mare-of-easttown","Mare of Easttown","2","7","8.4","https://image.tmdb.org/t/p/w400/78aK4Msbr22A5PGa6PZV0pAvdwf.jpg"
"https://seriesgraph.com/show/221851-marry-my-husband","Marry My Husband","","16","7.8","https://image.tmdb.org/t/p/w400/899KcBqooj8nEyPcAEU3h7AdfUo.jpg"
"https://seriesgraph.com/show/138505-marvel-zombies","Marvel Zombies","2","4","7.0","https://image.tmdb.org/t/p/w400/mwKj9ERGFXsWot0nXgQ5yMQf9I7.jpg"
"https://seriesgraph.com/show/61550-marvels-agent-carter","Marvel's Agent Carter","2","10","7.8","https://image.tmdb.org/t/p/w400/7kqIsjjDMZA5GRMH5VCdQYZJqc6.jpg"
"https://seriesgraph.com/show/67466-marvels-runaways","Marvel's Runaways","3","13","6.8","https://image.tmdb.org/t/p/w400/hnHEhbzh0F7kN3Ah1lzRjtQuW16.jpg"
"https://seriesgraph.com/show/12965-mara-la-del-barrio","María la del Barrio","","185","7.3","https://image.tmdb.org/t/p/w400/xGMquh71mh3w3QzUrl1AhCniHys.jpg"
